rep_id,filename,source_video,start_time,end_time,duration,quality,position
2,rep_0002.mp4,murphy1.mp4,16.519,21.941,5.422,0,5
6,rep_0006.mp4,murphy1.mp4,62.423,67.709,5.287,3,5
7,rep_0007.mp4,murphy1.mp4,117.86,123.377,5.516,1,6
8,rep_0008.mp4,murphy1.mp4,166.28,171.895,5.615,1,5
9,rep_0009.mp4,murphy1.mp4,177.248,182.084,4.837,0,6
10,rep_0010.mp4,murphy1.mp4,189.134,193.151,4.018,3,6
11,rep_0011.mp4,murphy1.mp4,200.911,206.017,5.106,2,5
12,rep_0012.mp4,murphy1.mp4,210.066,216.925,6.859,3,6
13,rep_0013.mp4,murphy1.mp4,236.292,241.192,4.9,2,6
14,rep_0014.mp4,murphy1.mp4,326.051,331.729,5.678,1,5
15,rep_0015.mp4,murphy1.mp4,346.107,350.053,3.947,2,6
16,rep_0016.mp4,murphy1.mp4,354.784,359.253,4.469,0,5
17,rep_0017.mp4,murphy2.mp4,39.326,43.048,3.722,3,6
18,rep_0018.mp4,murphy2.mp4,48.472,52.617,4.145,1,6
19,rep_0019.mp4,murphy2.mp4,55.805,59.232,3.427,3,6
20,rep_0020.mp4,murphy2.mp4,70.272,74.072,3.8,3,6
21,rep_0021.mp4,murphy2.mp4,75.567,78.916,3.349,0,6
22,rep_0022.mp4,murphy2.mp4,83.329,88.848,5.519,2,6
23,rep_0023.mp4,murphy2.mp4,103.609,109.241,5.633,3,6
24,rep_0024.mp4,murphy2.mp4,112.997,117.698,4.702,1,6
25,rep_0025.mp4,murphy2.mp4,120.847,126.565,5.718,2,6
26,rep_0026.mp4,murphy2.mp4,130.04,134.361,4.32,3,6
27,rep_0027.mp4,murphy2.mp4,181.012,190.449,9.437,2,6
28,rep_0028.mp4,murphy2.mp4,212.933,217.323,4.39,3,6
